year_level,avg,err_low,err_high,results_year,domain,test_type,school_id,school_name
Year 5,456,427,485,2014,Spelling,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 5,460,426,493,2014,Grammar,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 5,445,419,471,2014,Numeracy,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 5,517,503,531,2014,Reading,Paper,44671,"Altona Primary School, Altona, VIC"
Year 5,504,491,518,2014,Writing,Paper,44671,"Altona Primary School, Altona, VIC"
Year 5,490,476,503,2014,Spelling,Paper,44671,"Altona Primary School, Altona, VIC"
Year 5,502,486,517,2014,Grammar,Paper,44671,"Altona Primary School, Altona, VIC"
Year 5,501,489,514,2014,Numeracy,Paper,44671,"Altona Primary School, Altona, VIC"
Year 5,545,530,560,2014,Reading,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 5,478,463,492,2014,Writing,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 5,507,493,521,2014,Spelling,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 5,520,504,537,2014,Grammar,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 5,531,517,544,2014,Numeracy,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 5,544,527,561,2014,Reading,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 5,503,486,520,2014,Writing,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 5,522,506,539,2014,Spelling,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 5,543,524,562,2014,Grammar,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 5,516,501,530,2014,Numeracy,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 5,500,482,519,2014,Reading,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 5,474,457,492,2014,Writing,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 5,477,460,494,2014,Spelling,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 5,494,473,514,2014,Grammar,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 5,471,455,487,2014,Numeracy,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 5,467,437,497,2014,Reading,Paper,45587,"Altona College, Altona, VIC"
Year 5,470,441,499,2014,Writing,Paper,45587,"Altona College, Altona, VIC"
Year 5,490,461,519,2014,Spelling,Paper,45587,"Altona College, Altona, VIC"
Year 5,479,446,513,2014,Grammar,Paper,45587,"Altona College, Altona, VIC"
Year 5,451,426,476,2014,Numeracy,Paper,45587,"Altona College, Altona, VIC"
Year 5,505,484,525,2014,Reading,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 5,491,472,510,2014,Writing,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 5,504,485,522,2014,Spelling,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 5,498,477,520,2014,Grammar,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 5,486,469,503,2014,Numeracy,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 5,552,521,582,2014,Reading,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 5,479,451,507,2014,Writing,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 5,514,486,542,2014,Spelling,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 5,527,495,559,2014,Grammar,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 5,525,503,547,2014,Numeracy,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 7,589,582,597,2014,Reading,Paper,45442,"Northcote High School, Northcote, VIC"
Year 7,546,537,554,2014,Writing,Paper,45442,"Northcote High School, Northcote, VIC"
Year 7,563,556,571,2014,Spelling,Paper,45442,"Northcote High School, Northcote, VIC"
Year 7,584,575,593,2014,Grammar,Paper,45442,"Northcote High School, Northcote, VIC"
Year 7,578,570,586,2014,Numeracy,Paper,45442,"Northcote High School, Northcote, VIC"
Year 7,551,524,578,2014,Reading,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 7,517,486,547,2014,Writing,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 7,536,507,564,2014,Spelling,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 7,543,512,574,2014,Grammar,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 7,532,506,558,2014,Numeracy,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 7,521,514,529,2014,Reading,Paper,45360,"Braybrook College, Braybrook, VIC"
