Net recurrent income,$ Total,$ per student,year,school_id,school_name
Total net recurrent income,4798786,8615,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Subtotal,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Less deductions,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2014,44843,"Wembley Primary School, Yarraville, VIC"
Total net recurrent income,5331638,8517,2014,44843,"Wembley Primary School, Yarraville, VIC"
Total net recurrent income,6345998,12717,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Subtotal,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to debt servicing,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,11348954,8717,2014,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",1220422,937,2014,45475,"University High School, Parkville, VIC"
Other private sources,784128,602,2014,45475,"University High School, Parkville, VIC"
Total gross income,16026379,12309,2014,45475,"University High School, Parkville, VIC"
Less deductions,0,0,2014,45475,"University High School, Parkville, VIC"
Income allocated to current capital projects,0,0,2014,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,2736916,2504,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,12050860,11025,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total net recurrent income,9827409,11335,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total net recurrent income,4079034,9250,2014,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,583525,1492,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2014,44843,"Wembley Primary School, Yarraville, VIC"
State / territory government recurring funding,2557296,6540,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,135714,347,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,62377,313,2014,45797,"St John's School, Footscray, VIC"
Total gross income,2498013,12553,2014,45797,"St John's School, Footscray, VIC"
Less deductions,155645,782,2014,45797,"St John's School, Footscray, VIC"
Income allocated to current capital projects,115662,581,2014,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,17680,89,2014,45797,"St John's School, Footscray, VIC"
Income allocated to debt servicing,22303,112,2014,45797,"St John's School, Footscray, VIC"
Subtotal,155645,782,2014,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",225899,1135,2014,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Less deductions,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Total gross income,6345998,12717,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Other private sources,182464,366,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
"Fees, charges and parent contributions",483268,968,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,4607166,9233,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Australian government recurrent funding,1073100,2151,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
Total net recurrent income,2342368,11771,2014,45797,"St John's School, Footscray, VIC"
Income allocated to current capital projects,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,540525,2716,2014,45797,"St John's School, Footscray, VIC"
Australian government recurrent funding,1669212,8388,2014,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45475,"University High School, Parkville, VIC"
Total gross income,3486256,8916,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Less deductions,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Subtotal,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Total net recurrent income,3486256,8916,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,4798786,8615,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Other private sources,138321,248,2014,44664,"Footscray West Primary School, West Footscray, VIC"
"Fees, charges and parent contributions",329876,592,2014,44664,"Footscray West Primary School, West Footscray, VIC"
Total net recurrent income,16026379,12309,2014,45475,"University High School, Parkville, VIC"
Subtotal,0,0,2014,45475,"University High School, Parkville, VIC"
Income allocated to debt servicing,0,0,2014,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",209721,536,2014,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2014,44843,"Wembley Primary School, Yarraville, VIC"
Less deductions,0,0,2014,44843,"Wembley Primary School, Yarraville, VIC"
Other private sources,724158,663,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total gross income,17030905,15582,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Less deductions,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to current capital projects,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to debt servicing,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Subtotal,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total net recurrent income,17030905,15582,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,3900966,6232,2014,44843,"Wembley Primary School, Yarraville, VIC"
Australian government recurrent funding,926721,1480,2014,44843,"Wembley Primary School, Yarraville, VIC"
Total net recurrent income,4612464,8193,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Subtotal,0,0,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to debt servicing,0,0,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to current capital projects,0,0,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Less deductions,0,0,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Total gross income,4612464,8193,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Other private sources,97294,173,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
"Fees, charges and parent contributions",358431,637,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
State / territory government recurring funding,3386105,6014,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,770634,1369,2014,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Total net recurrent income,3445371,11719,2014,44714,"Footscray North Primary School, Footscray, VIC"
Subtotal,0,0,2014,44714,"Footscray North Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2014,44714,"Footscray North Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44714,"Footscray North Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2014,44714,"Footscray North Primary School, Footscray, VIC"
Less deductions,0,0,2014,44714,"Footscray North Primary School, Footscray, VIC"
Total gross income,3445371,11719,2014,44714,"Footscray North Primary School, Footscray, VIC"
Other private sources,123286,419,2014,44714,"Footscray North Primary School, Footscray, VIC"
"Fees, charges and parent contributions",1518970,1390,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,803277,1442,2014,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,3527312,6333,2014,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,2488494,8464,2014,44714,"Footscray North Primary School, Footscray, VIC"
Total gross income,5331638,8517,2014,44843,"Wembley Primary School, Yarraville, VIC"
Other private sources,98946,158,2014,44843,"Wembley Primary School, Yarraville, VIC"
Australian government recurrent funding,2672875,2053,2014,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",405005,647,2014,44843,"Wembley Primary School, Yarraville, VIC"
Less deductions,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Total net recurrent income,4757820,8730,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Australian government recurrent funding,2288158,2268,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
State / territory government recurring funding,9372769,9292,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Other private sources,1381425,1370,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Total gross income,4757820,8730,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Total gross income,13912118,13792,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Less deductions,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to debt servicing,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,13912118,13792,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
"Fees, charges and parent contributions",869767,862,2015,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2015,44693,"Kingsville Primary School, Yarraville, VIC"
Less deductions,0,0,2015,44693,"Kingsville Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",273504,502,2015,44225,"Williamstown Primary School, Williamstown, VIC"
Total gross income,4980644,7982,2015,44693,"Kingsville Primary School, Yarraville, VIC"
Other private sources,114999,184,2015,44693,"Kingsville Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",344177,552,2015,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,3634803,5825,2015,44693,"Kingsville Primary School, Yarraville, VIC"
Australian government recurrent funding,886665,1421,2015,44693,"Kingsville Primary School, Yarraville, VIC"
Total net recurrent income,6716515,12512,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Total net recurrent income,4450563,11227,2015,44062,"Footscray Primary School, Footscray, VIC"
Subtotal,0,0,2015,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2015,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2015,44062,"Footscray Primary School, Footscray, VIC"
Less deductions,0,0,2015,44062,"Footscray Primary School, Footscray, VIC"
Total gross income,4450563,11227,2015,44062,"Footscray Primary School, Footscray, VIC"
